task,category
Go to gym in the morning before office starts,STR
Hit the gym after office work today,STR
gym session 1 hr today,STR
Do chest day at gym,STR
Leg day at the gym no skipping this time,STR
Back and biceps workout today,STR
Shoulder day gym session evening,STR
Complete full body workout at gym,STR
gym leg press 4 sets,STR
Finish arms workout in gym and then go home directly,STR
Bench press 60 kg try,STR
Do deadlift 3 sets heavy,STR
Increase deadlift weight this wk,STR
Squat with barbell 5 sets,STR
Dumbbell rows 12 reps each side with proper form this time,STR
Shoulder press with dumbbells today,STR
Lat pulldown machine 4 sets,STR
Bicep curls 15 reps three sets,STR
Tricep dips at gym 3 sets,STR
Try 70 kg bench press this week and not skip it,STR
50 pushups before bath,STR
Do 100 pushups today total,STR
Pull ups on the bar 10 reps,STR
Try 5 clean pull ups,STR
Do 3 sets of squats at home in the morning itself,STR
Plank hold 2 min straight,STR
Plank challenge day 4 today,STR
50 burpees in one go,STR
Do lunges both legs 20 reps,STR
Crunches 3 sets before sleep and do not skip it today,STR
Home workout no gym today,STR
Morning workout before office start,STR
Do workout at home 30 min,STR
Bodyweight workout in the room,STR
Follow youtube workout video 20 min in the room after office,STR
Do HIIT workout 15 min at home,STR
Start 30 day workout challenge,STR
Complete day 10 of workout challenge,STR
Do core workout for abs,STR
Abs workout 10 min after the run in morning,STR
Morning run in the park,STR
Go for a run today,STR
Run 5 km today,STR
Run 3 km without stoping,STR
Jogging in society ground with neighbour uncle every day this week,STR
Do 20 min jog morning,STR
Treadmill run 30 min today,STR
Run on treadmill 5 km,STR
Sprints on the ground 10 rounds,STR
Do sprint training evening,STR
Start training for half marathon,STR
10k run practice on sunday,STR
Beat my 5k timing today,STR
Run stairs of the building,STR
Night run after dinner light,STR
Run with friend in morning,STR
Increase running distance to 7 km,STR
Do interval running today morning,STR
Run barefoot on grass 15 min,STR
Sunday long run 12 km and take proper rest after that,STR
Cycle to office today,STR
Cycling 20 km on weekend,STR
Go cycling in the morning,STR
Cycle ride to the lake,STR
Uphill cycling practice today on the road going to the temple,STR
Ride cycle for 1 hr,STR
Take cycle instead of bike,STR
Cycling with friends early morning before the traffic starts on road,STR
Do spin class at gym,STR
Stationary bike 30 min cardio,STR
Swimming 20 laps in pool,STR
Go swimming in the evening,STR
Swim for 45 min today,STR
Practice freestyle swimming 10 laps,STR
Morning walk daily 30 min without fail for this whole month,STR
Walk 10000 steps today,STR
Complete step goal before night,STR
Long walk after dinner daily,STR
Walk to market and back,STR
Take stairs not lift in office for whole week,STR
Brisk walk in the ground,STR
Walk 5 km in evening,STR
Trekking on sunday morning,STR
Go for trek with friends,STR
Hike up the hill early morning before it gets too hot,STR
Climb the fort steps trek,STR
Weekend trek with the grup,STR
Walk around the lake twice,STR
Evening walk with mom daily,STR
Do 15000 steps challenge today even if have to walk at night,STR
Play cricket in the ground,STR
Cricket match on sunday morning,STR
Play football with office team,STR
Football match evening 1 hr,STR
Play badminton for 1 hr in the evening with the neighbour,STR
Badminton with friends after office,STR
Play basketball in the evening,STR
Volleyball match at the society,STR
Play kho kho with kids,STR
Play in the office sports day match and give full effort,STR
Skipping rope 500 counts,STR
Do skipping 10 min daily,STR
Jumping jacks 100 reps today,STR
Do 200 jumping jacks morning,STR
Kettlebell swings 4 sets today and then finish with core work,STR
Mountain climbers 3 sets fast,STR
High knees 2 min cardio,STR
Do cardio 30 min today,STR
Cardio session before weights gym,STR
Stair climbing 10 floors practice in the office building daily,STR
Mop the whole house today,STR
Clean the terrace with water,STR
Wash the car in morning,STR
Wash bike properly this weekend,STR
Carry water cans to third floor for mummy she cannot lift,STR
Shift the almirah to other room,STR
Move furniture for cleaning today,STR
Lift the boxes to store room,STR
Carry grocery bags up the stairs,STR
Wash clothes by hand today because machine is not working,STR
Clean the whole house deep cleaning on sunday it will take hours,STR
Scrub the bathroom floor propely,STR
Dust and shift all the shelves,STR
Shift boxes to new flat,STR
Help friend in house shifting heavy items whole day,STR
Carry the luggage up to fourth floor,STR
Digging in the garden for plants,STR
Cut the grass in the garden,STR
Water all plants with heavy bucket,STR
Clean the water tank on terrace,STR
Paint the room wall myself,STR
Fix the roof leakage climbing up,STR
Shift the sofa for floor cleaning,STR
Carry cement bags for repair work,STR
Clean the parking area sweeping,STR
Sweep the whole floor twice,STR
Wash all the bedsheets by hand,STR
Rearrange the full room furniture,STR
Take out old stuff from loft,STR
Load the bags in the car for the trip tomorrow morning,STR
Do 4 gym days this week,STR
Not skip gym for whole week,STR
Go gym early 6 am,STR
Gym at 6 am daily this week no excuse this time,STR
Push harder in todays leg workout,STR
Add 5 kg to squat weight,STR
Do double gym session today,STR
Finish pending gym session evening,STR
Workout even if tired today,STR
Do 45 min strength training and no cardio on this day,STR
Chest press 4 sets at gym,STR
Incline bench press today workout,STR
Do pull day at the gym,STR
Push day workout in evening,STR
Do 3 sets hammer curls,STR
Leg extension and curls today,STR
Do calf raises 4 sets,STR
Hip thrust practice at gym,STR
Try weighted pull ups today,STR
Do 5 sets of overhead press with the bar not dumbbells,STR
Warm up before heavy lifting session,STR
Do 10 min warmup then run,STR
Push the bike till petrol pump,STR
Push the car when it stopped,STR
Climb 8 floors without lift today and count the time taken,STR
Climb stairs to the temple hill,STR
Do wall sit for 2 min,STR
Hold plank for 3 min today,STR
Do 20 pushups every hour today,STR
Pushups and squats between coding breaks the whole working day,STR
Cross trainer 20 min at gym,STR
Elliptical machine 25 min cardio,STR
Treadmill incline walk 20 min,STR
Do circuit training at gym today,STR
Finish the full circuit 3 rounds without taking a long break,STR
Do 100 squats in the morning,STR
Squat challenge day 3 today,STR
Do 50 sit ups dialy,STR
Sit ups 3 sets of 25,STR
Russian twist 3 sets today,STR
